<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230301,040800,23120.9900000,23141.0700000,23120.9900000,23139.7200000,6
GDAX.BTC-USD,1,20230301,040900,23138.0200000,23141.7100000,23129.5100000,23131.3800000,2
GDAX.BTC-USD,1,20230301,041000,23131.4400000,23132.8000000,23115.5500000,23118.0700000,2
GDAX.BTC-USD,1,20230301,041100,23118.1800000,23149.0200000,23117.7000000,23149.0200000,11
GDAX.BTC-USD,1,20230301,041200,23148.7200000,23151.0100000,23140.6200000,23149.5700000,12
GDAX.BTC-USD,1,20230301,041300,23149.5700000,23155.1100000,23141.4000000,23153.3100000,12
GDAX.BTC-USD,1,20230301,041400,23153.0800000,23164.0000000,23150.2000000,23160.4600000,14
GDAX.BTC-USD,1,20230301,041500,23161.0000000,23169.0000000,23159.8100000,23168.4200000,13
GDAX.BTC-USD,1,20230301,041600,23167.7400000,23172.3100000,23156.0900000,23157.6800000,23
GDAX.BTC-USD,1,20230301,041700,23156.0500000,23162.7200000,23153.5500000,23153.5500000,22
GDAX.BTC-USD,1,20230301,041800,23153.7400000,23159.1200000,23134.8200000,23158.1900000,10
GDAX.BTC-USD,1,20230301,041900,23158.1800000,23169.2000000,23155.5800000,23166.2400000,3
GDAX.BTC-USD,1,20230301,042000,23165.8000000,23165.8100000,23137.9400000,23139.5800000,7
GDAX.BTC-USD,1,20230301,042100,23140.2000000,23148.3400000,23140.2000000,23144.9900000,2
GDAX.BTC-USD,1,20230301,042200,23146.4300000,23151.1800000,23144.9800000,23147.7500000,2
GDAX.BTC-USD,1,20230301,042300,23148.2500000,23149.4700000,23129.6700000,23148.0400000,7
GDAX.BTC-USD,1,20230301,042400,23148.2900000,23154.0200000,23144.8300000,23146.7500000,3
GDAX.BTC-USD,1,20230301,042500,23146.7500000,23150.5000000,23145.0100000,23146.7200000,1
GDAX.BTC-USD,1,20230301,042600,23146.5300000,23146.5300000,23134.9900000,23136.5400000,2
GDAX.BTC-USD,1,20230301,042700,23136.1300000,23148.3200000,23136.1300000,23148.3200000,2
GDAX.BTC-USD,1,20230301,042800,23149.3200000,23150.0500000,23139.4500000,23139.7800000,3
